word,syllable break,phoneme,syllabilized phonemes
cuts,cuts,k ˈʌ t s,k ˈʌ t s
fit,fit,f ˈɪ t,f ˈɪ t
sniff,sniff,s n ˈɪ f,s n ˈɪ f
take,take,t ˈeɪ k,t ˈeɪ k
made,made,m ˈeɪ d,m ˈeɪ d
floats,floats,f l ˈoʊ t s,f l ˈoʊ t s
air,air,ˈɛ ɹ,ˈɛ ɹ
flesh,flesh,f l ˈɛ ʃ,f l ˈɛ ʃ
uses,uses,j ˈu z ɪ z,j ˈu z ɪ z
flasks,flasks,f l ˈæ s k s,f l ˈæ s k s
amounts,a.mounts,ə m ˈaʊ n t s,ə . m ˈaʊ n t s
waits,waits,w ˈeɪ t s,w ˈeɪ t s
hour,hour,ˈaʊ ɚ,ˈaʊ ɚ
notes,notes,n ˈoʊ t s,n ˈoʊ t s
turn,turn,t ˈɚ n,t ˈɚ n
dark,dark,d ˈɑ ɹ k,d ˈɑ ɹ k
plates,plates,p l ˈeɪ t s,p l ˈeɪ t s
mold,mold,m ˈoʊ l d,m ˈoʊ l d
grows,grows,ɡ ɹ ˈoʊ z,ɡ ɹ ˈoʊ z
clear,clear,k l ˈɪ ɹ,k l ˈɪ ɹ
moat,moat,m ˈoʊ t,m ˈoʊ t
edge,edge,ˈɛ d͡ʒ,ˈɛ d͡ʒ
her,her,h ˈɚ,h ˈɚ
cut,cut,k ˈʌ t,k ˈʌ t
case,case,k ˈeɪ s,k ˈeɪ s
pool,pool,p ˈu l,p ˈu l
shrinks,shrinks,ʃ ɹ ˈɪ ŋ k s,ʃ ɹ ˈɪ ŋ k s
microbe,mi.crobe,m ˈaɪ k ɹ ˌoʊ b,m ˈaɪ . k ɹ ˌoʊ b
kept,kept,k ˈɛ p t,k ˈɛ p t
clean,clean,k l ˈi n,k l ˈi n
tells,tells,t ˈɛ l z,t ˈɛ l z
pal,pal,p ˈæ l,p ˈæ l
says,says,s ˈɛ z,s ˈɛ z
check,check,t͡ʃ ˈɛ k,t͡ʃ ˈɛ k
toast,toast,t ˈoʊ s t,t ˈoʊ s t
loves,loves,l ˈʌ v z,l ˈʌ v z
able,a.ble,ˈeɪ b ə l,ˈeɪ . b ə l
after,af.ter,ˈæ f t ɚ,ˈæ f . t ɚ
starfang,star.fang,s t ˈɑ ɹ f ˈæ ŋ,s t ˈɑ . ɹ f ˈæ ŋ
bit,bit,b ˈɪ t,b ˈɪ t
problem,prob.lem,p ɹ ˈɑ b l ə m,p ɹ ˈɑ . b l ə m
quite,quite,k w ˈaɪ t,k w ˈaɪ t
large,large,l ˈɑ ɹ d͡ʒ,l ˈɑ ɹ d͡ʒ
spider,spi.der,s p ˈaɪ d ɚ,s p ˈaɪ . d ɚ
already,al.read.y,ɔ l ɹ ˈɛ d i,ɔ l . ɹ ˈɛ d . i
bones,bones,b ˈoʊ n z,b ˈoʊ n z
leave,leave,l ˈi v,l ˈi v
room,room,ɹ ˈu m,ɹ ˈu m
move,move,m ˈu v,m ˈu v
bed,bed,b ˈɛ d,b ˈɛ d
once,once,w ˈʌ n s,w ˈʌ n s
pets,pets,p ˈɛ t s,p ˈɛ t s
snuggle,snug.gle,s n ˈʌ ɡ ə l,s n ˈʌ ɡ . ə l
pet,pet,p ˈɛ t,p ˈɛ t
mat,mat,m ˈæ t,m ˈæ t
floor,floor,f l ˈɔ ɹ,f l ˈɔ ɹ
comes,comes,k ˈʌ m z,k ˈʌ m z
making,mak.ing,m ˈeɪ k ɪ ŋ,m ˈeɪ . k ɪ ŋ
houses,hou.ses,h ˈaʊ z ɪ z,h ˈaʊ . z ɪ z
though,though,ð ˈoʊ,ð ˈoʊ
asteroid,as.ter.oid,ˈæ s t ɚ ˌɔɪ d,ˈæ s . t ɚ . ɹ ˌɔɪ d
zombies,zom.bies,z ˈɑ m b i z,z ˈɑ m . b i z
tend,tend,t ˈɛ n d,t ˈɛ n d
roam,roam,ɹ ˈoʊ m,ɹ ˈoʊ m
free,free,f ɹ ˈi,f ɹ ˈi
which,which,w ˈɪ t͡ʃ,w ˈɪ t͡ʃ
place,place,p l ˈeɪ s,p l ˈeɪ s
lose,lose,l ˈu z,l ˈu z
trip,trip,t ɹ ˈɪ p,t ɹ ˈɪ p
bigger,big.ger,b ˈɪ ɡ ɚ,b ˈɪ ɡ . ɚ
plenty,plen.ty,p l ˈɛ n t i,p l ˈɛ n . t i
away,a.way,ə w ˈeɪ,ə . w ˈeɪ
spooky,spook.y,s p ˈu k i,s p ˈu . k i
fresh,fresh,f ɹ ˈɛ ʃ,f ɹ ˈɛ ʃ
ahead,a.head,ə h ˈɛ d,ə . h ˈɛ d
asteroids,as.ter.oids,ˈæ s t ɚ ˌɔɪ d z,ˈæ s . t ɚ . ɹ ˌɔɪ d z
walls,walls,w ˈɔ l z,w ˈɔ l z
ceiling,ceil.ing,s ˈi l ɪ ŋ,s ˈi . l ɪ ŋ
decor,de.cor,d ˈeɪ k ɔ ɹ,d ˈeɪ . k ɔ ɹ
australian,au.stra.li.an,ɔ s t ɹ ˈeɪ l j ə n,ɔ s . t ɹ ˈeɪ l . j ə n
home,home,h ˈoʊ m,h ˈoʊ m
hung,hung,h ˈʌ ŋ,h ˈʌ ŋ
hopes,hopes,h ˈoʊ p s,h ˈoʊ p s
serve,serve,s ˈɚ v,s ˈɚ v
two,two,t ˈu,t ˈu
purposes,pur.pos.es,p ˈɚ p ə s ɪ z,p ˈɚ . p ə s . ɪ z
firstly,first.ly,f ˈɚ s t l i,f ˈɚ s t . l i
autobiography,au.to.bi.og.ra.phy,ˌɔ t oʊ b aɪ ˈɑ ɡ ɹ ə f i,ˌɔ . t oʊ . b aɪ . ˈɑ . ɡ ɹ ə . f i
secondly,sec.ond.ly,s ˈɛ k ə n d l i,s ˈɛ k . ə n d . l i
webs,webs,w ˈɛ b z,w ˈɛ b z
super,su.per,s ˈu p ɚ,s ˈu . p ɚ
stressed,stressed,s t ɹ ˈɛ s t,s t ɹ ˈɛ s t
spoiled,spoiled,s p ˈɔɪ l d,s p ˈɔɪ l d
potato,po.ta.to,p ə t ˈeɪ t oʊ,p ə . t ˈeɪ . t oʊ
bone,bone,b ˈoʊ n,b ˈoʊ n
uh,uh,ˈʌ,ˈʌ
oh,oh,ˈoʊ,ˈoʊ
allowed,a.llowed,ə l ˈaʊ d,ə . l ˈaʊ d
treat,treat,t ɹ ˈi t,t ɹ ˈi t
fan,fan,f ˈæ n,f ˈæ n
noises,noises,n ˈɔɪ z ɪ z,n ˈɔɪ z ɪ z
hallway,hall.way,h ˈɔ l w ˌeɪ,h ˈɔ l . w ˌeɪ
hide,hide,h ˈaɪ d,h ˈaɪ d
working,work.ing,w ˈɚ k ɪ ŋ,w ˈɚ . k ɪ ŋ
scuttles,scut.tles,s k ˈʌ t l z,s k ˈʌ t . l z
corner,cor.ner,k ˈɔ ɹ n ɚ,k ˈɔ ɹ . n ɚ
hisses,his.ses,h ˈɪ s ɪ z,h ˈɪ s . ɪ z
love,love,l ˈʌ v,l ˈʌ v
finished,fin.ished,f ˈɪ n ɪ ʃ t,f ˈɪ n . ɪ ʃ t
front,front,f ɹ ˈʌ n t,f ɹ ˈʌ n t
surprise,sur.prise,s ə p ɹ ˈaɪ z,s ə . p ɹ ˈaɪ z
sees,sees,s ˈi z,s ˈi z
baffled,baf.fled,b ˈæ f ə l d,b ˈæ f . ə l d
jack,jack,d͡ʒ ˈæ k,d͡ʒ ˈæ k
o,o,ˈoʊ,ˈoʊ
lantern,lan.tern,l ˈæ n t ɚ n,l ˈæ n . t ɚ n
blocks,blocks,b l ˈɑ k s,b l ˈɑ k s
ender,end.er,ˈɛ n d ɚ,ˈɛ n d . ɚ
dragon,drag.on,d ɹ ˈæ ɡ ə n,d ɹ ˈæ ɡ . ə n
skulls,skulls,s k ˈʌ l z,s k ˈʌ l z
soul,soul,s ˈoʊ l,s ˈoʊ l
fires,fires,f ˈaɪ ɚ z,f ˈaɪ ɚ z
truly,tru.ly,t ɹ ˈu l i,t ɹ ˈu . l i
something,some.thing,s ˈʌ m θ ɪ ŋ,s ˈʌ m . θ ɪ ŋ
bakery,bak.er.y,b ˈeɪ k ɚ i,b ˈeɪ . k ɚ . ɹ i
perfectly,per.fect.ly,p ˈɚ f ə k t l i,p ˈɚ . f ə k t . l i
adobe,a.do.be,ə d ˈoʊ b i,ə . d ˈoʊ . b i
balance,bal.ance,b ˈæ l ə n s,b ˈæ l . l ə n s
knack,knack,n ˈæ k,n ˈæ k
thrilled,thrilled,θ ɹ ˈɪ l d,θ ɹ ˈɪ l d
wait,wait,w ˈeɪ t,w ˈeɪ t
open,o.pen,ˈoʊ p ə n,ˈoʊ . p ə n
door,door,d ˈɔ ɹ,d ˈɔ ɹ
seems,seems,s ˈi m z,s ˈi m z
entrance,en.trance,ˈɛ n t ɹ ə n s,ˈɛ n . t ɹ ə n s
bricks,bricks,b ɹ ˈɪ k s,b ɹ ˈɪ k s
knobbly,knob.bly,n ˈɑ b l i,n ˈɑ b . l i
rough,rough,ɹ ˈʌ f,ɹ ˈʌ f
looks,looks,l ˈʊ k s,l ˈʊ k s
dungeon,dun.geon,d ˈʌ n d͡ʒ ə n,d ˈʌ n . d͡ʒ ə n
design,de.sign,d ɪ z ˈaɪ n,d ɪ . z ˈaɪ n
before,be.fore,b ɪ f ˈɔ ɹ,b ɪ . f ˈɔ ɹ
simple,sim.ple,s ˈɪ m p ə l,s ˈɪ m . p ə l
done,done,d ˈʌ n,d ˈʌ n
happy,hap.py,h ˈæ p i,h ˈæ p . i
sleep,sleep,s l ˈi p,s l ˈi p
together,to.geth.er,t ə ɡ ˈɛ ð ɚ,t ə . ɡ ˈɛ ð . ɚ
since,since,s ˈɪ n s,s ˈɪ n s
seem,seem,s ˈi m,s ˈi m
sleeping,sleep.ing,s l ˈi p ɪ ŋ,s l ˈi . p ɪ ŋ
little,lit.tle,l ˈɪ t ə l,l ˈɪ t . ə l
nice,nice,n ˈaɪ s,n ˈaɪ s
touch,touch,t ˈʌ t͡ʃ,t ˈʌ t͡ʃ
torches,tor.ches,t ˈɔ ɹ t͡ʃ ɪ z,t ˈɔ ɹ t͡ʃ . ɪ z
much,much,m ˈʌ t͡ʃ,m ˈʌ t͡ʃ
cooler,cool.er,k ˈu l ɚ,k ˈu . l ɚ
than,than,ð ə n,ð ə n
old,old,ˈoʊ l d,ˈoʊ l d
ones,ones,w ˈʌ n z,w ˈʌ n z
excited,ex.cit.ed,ɪ k s ˈaɪ t ɪ d,ɪ k . s ˈaɪ . t ɪ d
gave,gave,ɡ ˈeɪ v,ɡ ˈeɪ v
any,an.y,ˈɛ n i,ˈɛ n . i
course,course,k ˈɔ ɹ s,k ˈɔ ɹ s
meat,meat,m ˈi t,m ˈi t
instead,in.stead,ɪ n s t ˈɛ d,ɪ n . s t ˈɛ d
mistake,mis.take,m ɪ s t ˈeɪ k,m ɪ . s t ˈeɪ k
head,head,h ˈɛ d,h ˈɛ d
night,night,n ˈaɪ t,n ˈaɪ t
curl,curl,k ˈɚ l,k ˈɚ l
anymore,an.y.more,ˌɛ n i m ˈɔ ɹ,ˌɛ n . i . m ˈɔ ɹ
looking,look.ing,l ˈʊ k ɪ ŋ,l ˈʊ . k ɪ ŋ
turns,turns,t ˈɚ n z,t ˈɚ n z
continue,con.tin.ue,k ə n t ˈɪ n j u,k ə n . t ˈɪ n . j u
tour,tour,t ˈʊ ɹ,t ˈʊ ɹ
knits,knits,n ˈɪ t s,n ˈɪ t s
brow,brow,b ɹ ˈaʊ,b ɹ ˈaʊ
lovely,love.ly,l ˈʌ v l i,l ˈʌ v . l i
spent,spent,s p ˈɛ n t,s p ˈɛ n t
such,such,s ˈʌ t͡ʃ,s ˈʌ t͡ʃ
finishing,fin.ish.ing,f ˈɪ n ɪ ʃ ɪ ŋ,f ˈɪ n . ɪ ʃ . ɪ ŋ
going,go.ing,ɡ ˈoʊ ɪ ŋ,ɡ ˈoʊ . ɪ ŋ
bunk,bunk,b ˈʌ ŋ k,b ˈʌ ŋ k
tonight,to.night,t ʌ n ˈaɪ t,t ʌ . n ˈaɪ t
drink,drink,d ɹ ˈɪ ŋ k,d ɹ ˈɪ ŋ k
rain,rain,ɹ ˈeɪ n,ɹ ˈeɪ n
water,wa.ter,w ˈɔ t ɚ,w ˈɔ . t ɚ
pail,pail,p ˈeɪ l,p ˈeɪ l
drop,drop,d ɹ ˈɑ p,d ɹ ˈɑ p
pump,pump,p ˈʌ m p,p ˈʌ m p
fed,fed,f ˈɛ d,f ˈɛ d
dry,dry,d ɹ ˈaɪ,d ɹ ˈaɪ
tank,tank,t ˈæ ŋ k,t ˈæ ŋ k
tap,tap,t ˈæ p,t ˈæ p
luck,luck,l ˈʌ k,l ˈʌ k
river,riv.er,ɹ ˈɪ v ɚ,ɹ ˈɪ v . ɚ
trees,trees,t ɹ ˈi z,t ɹ ˈi z
drank,drank,d ɹ ˈæ ŋ k,d ɹ ˈæ ŋ k
walks,walks,w ˈɔ k s,w ˈɔ k s
dam,dam,d ˈæ m,d ˈæ m
lives,lives,l ˈɪ v z,l ˈɪ v z
by,by,b ˈaɪ,b ˈaɪ
salt,salt,s ˈɔ l t,s ˈɔ l t
cloud,cloud,k l ˈaʊ d,k l ˈaʊ d
yells,yells,j ˈɛ l z,j ˈɛ l z
raining,,ɹ ˈeɪ n ɪ ŋ,
clouds,clouds,k l ˈaʊ d z,k l ˈaʊ d z
storms,storms,s t ˈɔ ɹ m z,s t ˈɔ ɹ m z
hides,hides,h ˈaɪ d z,h ˈaɪ d z
bangs,bangs,b ˈæ ŋ z,b ˈæ ŋ z
sun,sun,s ˈʌ n,s ˈʌ n
dog,dog,d ˈɔ ɡ,d ˈɔ ɡ
cat,cat,k ˈæ t,k ˈæ t
were,were,w ɚ,w ɚ
pals,pals,p ˈæ l z,p ˈæ l z
fun,fun,f ˈʌ n,f ˈʌ n
liked,liked,l ˈaɪ k t,l ˈaɪ k t
nap,nap,n ˈæ p,n ˈæ p
fight,fight,f ˈaɪ t,f ˈaɪ t
ate,ate,ˈeɪ t,ˈeɪ t
rat,rat,ɹ ˈæ t,ɹ ˈæ t
people,peo.ple,p ˈi p ə l,p ˈi . p ə l
lost,lost,l ˈɔ s t,l ˈɔ s t
stung,stung,s t ˈʌ ŋ,s t ˈʌ ŋ
went,went,w ˈɛ n t,w ˈɛ n t
yard,yard,j ˈɑ ɹ d,j ˈɑ ɹ d
swung,swung,s w ˈʌ ŋ,s w ˈʌ ŋ
paws,paws,p ˈɔ z,p ˈɔ z
ran,ran,ɹ ˈæ n,ɹ ˈæ n
flung,flung,f l ˈʌ ŋ,f l ˈʌ ŋ
gate,gate,ɡ ˈeɪ t,ɡ ˈeɪ t
seen,seen,s ˈi n,s ˈi n
slunk,slunk,s l ˈʌ ŋ k,s l ˈʌ ŋ k
tired,tired,t ˈaɪ ɚ d,t ˈaɪ ɚ d
sad,sad,s ˈæ d,s ˈæ d
talk,talk,t ˈɔ k,t ˈɔ k
maybe,may.be,m ˈeɪ b i,m ˈeɪ . b i
fish,fish,f ˈɪ ʃ,f ˈɪ ʃ
sick,sick,s ˈɪ k,s ˈɪ k
nor,nor,n ˈɔ ɹ,n ˈɔ ɹ
acting,act.ing,ˈæ k t ɪ ŋ,ˈæ k . t ɪ ŋ
saw,saw,s ˈɔ,s ˈɔ
rabbit,rab.bit,ɹ ˈæ b ɪ t,ɹ ˈæ . b ɪ t
tried,tried,t ɹ ˈaɪ d,t ɹ ˈaɪ d
standing,stand.ing,s t ˈæ n d ɪ ŋ,s t ˈæ n . d ɪ ŋ
said,said,s ˈɛ d,s ˈɛ d
looked,looked,l ˈʊ k t,l ˈʊ k t
silly,sil.ly,s ˈɪ l i,s ˈɪ l . i
bird,bird,b ˈɚ d,b ˈɚ d
fly,fly,f l ˈaɪ,f l ˈaɪ
fins,fins,f ˈɪ n z,f ˈɪ n z
jump,jump,d͡ʒ ˈʌ m p,d͡ʒ ˈʌ m p
landed,land.ed,l ˈæ n d ɪ d,l ˈæ n d . ɪ d
down,down,d ˈaʊ n,d ˈaʊ n
swooped,swooped,s w ˈu p t,s w ˈu p t
could,could,k ˈʊ d,k ˈʊ d
coexist,co.ex.ist,k ˌoʊ ə ɡ z ˈɪ s t,k ˌoʊ . ə ɡ . z ˈɪ s t
sky,sky,s k ˈaɪ,s k ˈaɪ
felt,felt,f ˈɛ l t,f ˈɛ l t
bore,bore,b ˈɔ ɹ,b ˈɔ ɹ
stand,stand,s t ˈæ n d,s t ˈæ n d
swim,swim,s w ˈɪ m,s w ˈɪ m
feeling,fee.ling,f ˈi l ɪ ŋ,f ˈi . l ɪ ŋ
started,started,s t ˈɑ ɹ t ɪ d,s t ˈɑ ɹ t ɪ d
banana,ba.na.na,b ə n ˈæ n ə,b ə . n ˈæ n . ə
asked,asked,ˈæ s k t,ˈæ s k t
bananas,ba.na.nas,b ə n ˈæ n ə z,b ə . n ˈæ n . ə z
meant,meant,m ˈɛ n t,m ˈɛ n t
spend,spend,s p ˈɛ n d,s p ˈɛ n d
dove,dove,d ˈʌ v,d ˈʌ v
stayed,stayed,s t ˈeɪ d,s t ˈeɪ d
bottom,bot.tom,b ˈɑ t ə m,b ˈɑ . t ə m
until,un.til,ʌ n t ˈɪ l,ʌ n . t ˈɪ l
least,least,l ˈi s t,l ˈi s t
popped,popped,p ˈɑ p t,p ˈɑ p t
if,if,ˈɪ f,ˈɪ f
friend,friend,f ɹ ˈɛ n d,f ɹ ˈɛ n d
sitting,sit.ting,s ˈɪ t ɪ ŋ,s ˈɪ t . ɪ ŋ
rock,rock,ɹ ˈɑ k,ɹ ˈɑ k
bored,bored,b ˈɔ ɹ d,b ˈɔ ɹ d
wanted,want.ed,w ˈɔ n t ɪ d,w ˈɔ n . t ɪ d
barrelling,bar.rel.ling,b ˈɛ ɹ ˈɛ l ɪ ŋ,b ˈɛ . ɹ ˈɛ l . l ɪ ŋ
diving,div.ing,d ˈaɪ v ɪ ŋ,d ˈaɪ . v ɪ ŋ
coordinate,co.or.di.nate,k oʊ ˈɔ ɹ d ɪ n ˌeɪ t,k oʊ . ˈɔ ɹ . d ɪ n . ˌeɪ t
limbs,limbs,l ˈɪ m z,l ˈɪ m z
basil,bas.il,b ˈæ z ə l,b ˈæ . z ə l
worries,wor.ries,w ˈɚ i z,w ˈɚ . i z
thinking,think.ing,θ ˈɪ ŋ k ɪ ŋ,θ ˈɪ ŋ . k ɪ ŋ
swam,swam,s w ˈæ m,s w ˈæ m
battled,bat.tled,b ˈæ t ə l d,b ˈæ t . ə l d
thick,thick,θ ˈɪ k,θ ˈɪ k
thin,thin,θ ˈɪ n,θ ˈɪ n
having,hav.ing,h ˈæ v ɪ ŋ,h ˈæ v . ɪ ŋ
lesson,les.son,l ˈɛ s ə n,l ˈɛ s . ə n
hunt,hunt,h ˈʌ n t,h ˈʌ n t
dinner,din.ner,d ˈɪ n ɚ,d ˈɪ n . ɚ
shows,shows,ʃ ˈoʊ z,ʃ ˈoʊ z
silent,si.lent,s ˈaɪ l ə n t,s ˈaɪ . l ə n t
stone,stone,s t ˈoʊ n,s t ˈoʊ n
trouble,trou.ble,t ɹ ˈʌ b ə l,t ɹ ˈʌ b . ə l
grumpy,grum.py,ɡ ɹ ˈʌ m p i,ɡ ɹ ˈʌ m . p i
turtle,tur.tle,t ˈɚ t ə l,t ˈɚ . t ə l
moves,moves,m ˈu v z,m ˈu v z
scares,scares,s k ˈɛ ɹ z,s k ˈɛ ɹ z
prey,prey,p ɹ ˈeɪ,p ɹ ˈeɪ
start,start,s t ˈɑ ɹ t,s t ˈɑ ɹ t
final,fi.nal,f ˈaɪ n ə l,f ˈaɪ . n ə l
dashes,dashes,d ˈæ ʃ ɪ z,d ˈæ ʃ ɪ z
soon,soon,s ˈu n,s ˈu n
unable,un.a.ble,ʌ n ˈeɪ b ə l,ʌ n . ˈeɪ . b ə l
idle,i.dle,ˈaɪ d ə l,ˈaɪ . d ə l
beetroot,beet.roots,b ˈi t ɹ ˈu t,b ˈi t . ɹ ˈu t
hangs,hangs,h ˈæ ŋ z,h ˈæ ŋ z
middle,mid.dle,m ˈɪ d ə l,m ˈɪ d . ə l
branch,branch,b ɹ ˈæ n t͡ʃ,b ɹ ˈæ n t͡ʃ
easier,eas.i.er,ˈi z i ɚ,ˈi z . i . ɚ
leaps,leaps,l ˈi p s,l ˈi p s
snatch,snatch,s n ˈæ t͡ʃ,s n ˈæ t͡ʃ
struggle,strug.gle,s t ɹ ˈʌ ɡ ə l,s t ɹ ˈʌ . ɡ ə l
someone,some.one,s ˈʌ m w ˌʌ n,s ˈʌ m . w ˌʌ n
afar,a.far,ə f ˈɑ ɹ,ə . f ˈɑ ɹ
...another,,ə n ˈʌ ð ɚ,
behavior,be.hav.ior,b ɪ h ˈeɪ v j ɚ,b ɪ . h ˈeɪ v . j ɚ
kingfisher,king.fish.er,k ˈɪ ŋ f ˌɪ ʃ ɚ,k ˈɪ ŋ . f ˌɪ ʃ . ɚ
struggles,strug.gles,s t ɹ ˈʌ ɡ ə l z,s t ɹ ˈʌ . ɡ ə l z
roots,roots,ɹ ˈu t s,ɹ ˈu t s
marsh,marsh,m ˈɑ ɹ ʃ,m ˈɑ ɹ ʃ
tree,tree,t ɹ ˈi,t ɹ ˈi
dives,dives,d ˈaɪ v z,d ˈaɪ v z
angle,an.gle,ˈæ ŋ ɡ ə l,ˈæ ŋ . ɡ ə l
misses,miss.es,m ˈɪ s ɪ z,m ˈɪ s . ɪ z
fishes,fishes,f ˈɪ ʃ ɪ z,f ˈɪ ʃ . ɪ z
grabs,grabs,ɡ ɹ ˈæ b z,ɡ ɹ ˈæ b z
leaf,leaf,l ˈi f,l ˈi f
dash,dash,d ˈæ ʃ,d ˈæ ʃ
behaviour,be.hav.iour,b ɪ h ˈeɪ v j ɚ,b ɪ . h ˈeɪ v . j ɚ
trapped,trapped,t ɹ ˈæ p t,t ɹ ˈæ p t
ready,read.y,ɹ ˈɛ d i,ɹ ˈɛ d . i
team,team,t ˈi m,t ˈi m
bite,bite,b ˈaɪ t,b ˈaɪ t
book,book,b ˈʊ k,b ˈʊ k
three,three,θ ɹ ˈi,θ ɹ ˈi
lights,lights,l ˈaɪ t s,l ˈaɪ t s
behaviours,be.hav.iours,b ɪ h ˈeɪ v j ɚ z,b ɪ . h ˈeɪ v . j ɚ z
children,chil.dren,t͡ʃ ˈɪ l d ɹ ə n,t͡ʃ ˈɪ l . d ɹ ə n
straight,straight,s t ɹ ˈeɪ t,s t ɹ ˈeɪ t
missus,,m ˈɪ s ɪ z,
quigley's,quig.leys,k w ˈɪ ɡ l i z,
waited,waited,w ˈeɪ t ɪ d,w ˈeɪ t ɪ d
basement,base.ment,b ˈeɪ s m ə n t,b ˈeɪ s . m ə n t
raving,raving,ɹ ˈeɪ v ɪ ŋ,ɹ ˈeɪ v ɪ ŋ
quigley,quig.ley,k w ˈɪ ɡ l i,k w ˈɪ ɡ . l i
smiled,smiled,s m ˈaɪ l d,s m ˈaɪ l d
listened,listened,l ˈɪ s ə n d,l ˈɪ s ə n d
twists,twists,t w ˈɪ s t s,t w ˈɪ s t s
story,sto.ry,s t ˈɔ ɹ i,s t ˈɔ . ɹ i
took,took,t ˈʊ k,t ˈʊ k
told,told,t ˈoʊ l d,t ˈoʊ l d
solved,solved,s ˈɑ l v d,s ˈɑ l v d
closed,closed,k l ˈoʊ z d,k l ˈoʊ z d
eyes,eyes,ˈaɪ z,ˈaɪ z
moment,mo.ment,m ˈoʊ m ə n t,m ˈoʊ . m ə n t
sigh,sigh,s ˈaɪ,s ˈaɪ
i,i,ˈaɪ,ˈaɪ
certainly,cer.tain.ly,s ˈɚ t ə n l i,s ˈɚ . t ə n . l i
hear,hear,h ˈɪ ɹ,h ˈɪ ɹ
behold,be.hold,b ɪ h ˈoʊ l d,b ɪ . h ˈoʊ l d
without,with.out,w ɪ ð ˈaʊ t,w ɪ ð . ˈaʊ t
formal,for.mal,f ˈɔ ɹ m ə l,f ˈɔ ɹ . m ə l
training,train.ing,t ɹ ˈeɪ n ɪ ŋ,t ɹ ˈeɪ . n ɪ ŋ
interacting,interacting,ˌɪ n t ɚ ˈæ k t ɪ ŋ,ˌɪ n t ɚ ˈæ k t ɪ ŋ
stories,sto.ries,s t ˈɔ ɹ i z,s t ˈɔ . ɹ i z
somehow,some.how,s ˈʌ m h ˌaʊ,s ˈʌ m . h ˌaʊ
mean,mean,m ˈi n,m ˈi n
adventure,ad.ven.ture,æ d v ˈɛ n t͡ʃ ɚ,æ d . v ˈɛ n . t͡ʃ ɚ
sat,sat,s ˈæ t,s ˈæ t
couch,couch,k ˈaʊ t͡ʃ,k ˈaʊ t͡ʃ
eagerly,ea.ger.ly,ˈi ɡ ɚ l i,ˈi . ɡ ɚ . l i
hooked,hooked,h ˈʊ k t,h ˈʊ k t
machine,ma.chine,m ə ʃ ˈi n,m ə . ʃ ˈi n
chose,chose,t͡ʃ ˈoʊ z,t͡ʃ ˈoʊ z
black,black,b l ˈæ k,b l ˈæ k
yellow,yel.low,j ˈɛ l oʊ,j ˈɛ l . oʊ
circle,cir.cle,s ˈɚ k ə l,s ˈɚ . k ə l
cover,cov.er,k ˈʌ v ɚ,k ˈʌ v . ɚ
lines,lines,l ˈaɪ n z,l ˈaɪ n z
shabby,shab.by,ʃ ˈæ b i,ʃ ˈæ b . i
shops,shops,ʃ ˈɑ p s,ʃ ˈɑ p s
fixed,fixed,f ˈɪ k s t,f ˈɪ k s t
uneasy,un.eas.y,ʌ n ˈi z i,ʌ n . ˈi . z i
ever,ev.er,ˈɛ v ɚ,ˈɛ v . ɚ
broken,bro.ken,b ɹ ˈoʊ k ə n,b ɹ ˈoʊ . k ə n
loved,loved,l ˈʌ v d,l ˈʌ v d
faded,fad.ed,f ˈeɪ d ɪ d,f ˈeɪ . d ɪ d
paint,paint,p ˈeɪ n t,p ˈeɪ n t
jobs,jobs,d͡ʒ ˈɑ b z,d͡ʒ ˈɑ b z
carefully,care.ful.ly,k ˈɛ ɹ f ə l i,k ˈɛ ɹ . f ə l . i
window,win.dow,w ˈɪ n d oʊ,w ˈɪ n . d oʊ
boxes,boxes,b ˈɑ k s ɪ z,b ˈɑ k s ɪ z
dead,dead,d ˈɛ d,d ˈɛ d
late,late,l ˈeɪ t,l ˈeɪ t
everybody,eve.ry.bod.y,ˈɛ v ɹ i b ˌɑ d i,ˈɛ v . ɹ i . b ˌɑ . d i
shut,shut,ʃ ˈʌ t,ʃ ˈʌ t
windows,win.dows,w ˈɪ n d oʊ z,w ˈɪ n . d oʊ z
wide,wide,w ˈaɪ d,w ˈaɪ d
eyed,eyed,ˈaɪ d,ˈaɪ d
nobody,no.bod.y,n ˈoʊ b ˌɑ d i,n ˈoʊ . b ˌɑ . d i
knocked,knocked,n ˈɑ k t,n ˈɑ k t
doors,doors,d ˈɔ ɹ z,d ˈɔ ɹ z
gaunt,gaunt,ɡ ˈɔ n t,ɡ ˈɔ n t
stood,stood,s t ˈʊ d,s t ˈʊ d
fence,fence,f ˈɛ n s,f ˈɛ n s
walked,walked,w ˈɔ k t,w ˈɔ k t
walking,walk.ing,w ˈɔ k ɪ ŋ,w ˈɔ . k ɪ ŋ
warned,warned,w ˈɔ ɹ n d,w ˈɔ ɹ n d
haven't,havenet,h ˈæ v ə n t,
parents,par.ents,p ˈɛ ɹ ə n t s,p ˈɛ ɹ . ə n t s
berates,ber.ates,b ɚ ˌeɪ t s,b ɚ . ɹ ˌeɪ t s
ada,a.da,ˈeɪ d ə,ˈeɪ . d ə
setting,set.ting,s ˈɛ t ɪ ŋ,s ˈɛ t . ɪ ŋ
knew,knew,n j ˈu,n j ˈu
blank,blank,b l ˈæ ŋ k,b l ˈæ ŋ k
